Code;Description
FAB00953;Funeral Director
FAB00954;Funeral Director\'s Assistant
OC8155;Fur and leather preparing machine operator
FAB00955;Furnace Control Room Operator
FAB00956;Furnace Operator - Cemetery, Crematorium
FAD03137;Furnace Operator - Other
FAB00961;Furniture Designer
FAC02794;Furniture Maker 
FAB00962;Furniture Remover
FAC02795;Furniture Restorer
FAC02796;Furniture Retailer
GAD03150;Gallery Assistant
GAC02797;Gallery Owner (admin. only) 
GAC02798;Gallery Owner (including manual work)
OC3433;Gallery, museum and library technician
GAD03155;Galley Hand
GAB00965;Galvaniser
GAB00966;Gamekeeper
GAB00968;Ganger
GAD03156;Gantry Crane Driver
GAC02800;Garage - Mechanic
GAC02801;Garage - Petrol Pump Attendant
GAC02802;Garage Proprietor - admin only
GAC02803;Garage Repair Shop Supervisor (including manual duties)
OC9611;Garbage and recycling collector
OC9214;Garden and horticultural labourer
GAC02804;Gardener
OC6113;Gardeners, horticultural and nursery grower
OC7532;Garment and related pattern-maker and cutter
GAB00971;Gas Appliance Mechanic
GAB00972;Gas Compressor Operator
GAB00976;Gas Fitter
GAB00979;Gas Meter Tester
GAB00984;Gem Cutter
GAB00985;Gem Polisher
GAB00986;Gem Setter
OC4110;General office clerk
OC2211;Generalist medical practitioner
GAB00987;Geologist - Mining
GAB00989;Geologist - no aerial/offshore etc
GAB00988;Geologist - Oil & Natural Gas Industries 
GAB00990;Geophysicist - Mining
GAB00991;Geophysicist - Oil & Natural Gas Industries 
GAD03145;Glamour Model
OC8181;Glass and ceramics plant operator
GAC02806;Glass Blower
OC7315;Glass maker, cutter, grinder and finisher
GAD03151;Glass Worker
GAB00996;Glazer
GAD03152;Glazier
GAB01000;Gold Beater
GAC02807;Goldsmith
GAB01001;Golf - Caddie
OC3354;Government licensing official
OC3353;Government social benefits official
OC3352;Government tax and excise official
GAB01003;Governor
GAD03146;GP - general practitioner - Doctor
GAB01004;Grader
GAC02808;Grain Merchant (office based)
OC2166;Graphic and multimedia designer
GAC02809;Graphic Designer
GAB01007;Grave Digger
GAD03154;Greaser
GAB01010;Greenkeeper
GAD03144;Grinder
GAC02813;Grocer
GAB01019;Groom
GAB01020;Ground Equipment Service Mechanic
GAB01021;Ground Hostess/Steward
GAB01022;Ground Movement Controller
GAB01023;Groundsman
GAD03147;Groundworker
GAD03148;Guard - railway
GAD03149;Guard - security
GAC02815;Guest House Proprietor
GAC02816;Guest House Proprietor (admin. only) 
GAB01025;Guillotine Operator
GAB01026;Gummer
GAD03153;Gunsmith
HAC02817;Haberdasher 
HAB01028;Hairdresser - Mobile
HAB01029;Hairdresser - Salon
HAC02818;Hairdresser Shop Manager - admin only
HAC02819;Hairdresser Shop Proprietor
HAD03164;Hammerman
OC9331;Hand and pedal vehicle driver
OC9121;Hand launderer and presser
OC9321;Hand packer
OC7319;Handicraft worker  
OC7318;Handicraft worker in textile, leather and related material
OC7317;Handicraft worker in wood, basketry and related material
HAB01037;Handyman
HAB01038;Harbour Master
HAC02820;Harbour Pilot
HAD03157;Hardware Shop Retailer
HAB01041;Harness Maker
HAB01043;Hat Maker
HAB01044;Hatchery Worker
HAC02822;Haulage Contractor
HAB01046;Haulier (no driving)
HAB01047;Head Gardener
HAB01048;Head Groundsman
HAB01049;Head Keeper - Zoo
HAB01050;Head Roustabout
HAC02823;Headteacher
HAC02824;Health & Safety Officer 
HAC02825;Health and Fitness Club Manager (admin. only)
HAC02826;Health and Fitness Club Trainer 
OC3259;Health associate professional  
OC5321;Health care assistant
HAC02827;Health Counsellor
OC2269;Health professional  
HAB01053;Health Radiation Monitor
OC1342;Health services manager
HAC02828;Health Visitor
HAC02829;Heating and Ventilating Fitter
HAC02830;Heavy Goods Driver (no loading) UK only 
HAB01064;Heavy Goods Vehicle Driver
OC8332;Heavy truck and lorry driver
HAC02831;Helicopter Engineer 
HAC02832;Helicopter Pilot - Oil Rig Industry 
HAC02833;Helicopter Pilot - Onshore
HAB01066;Historic Building Guide
HAD03162;Hod Carrier - construction
HAB01067;Hoist Driver
HAD03163;Hoist Operator
HAD03165;Holiday Representative
HAC02834;Home Help
OC5322;Home-based personal care worker
HAC02835;Homeless Centre Manager (admin. only) 
HAC02836;Homeopath
HAB01076;Horse Breeder
HAB01077;Horse Racing - Flat Jockey
HAB01078;Horse Racing - National Hunt
HAC02837;Horticulturist
HAB01082;Hospital Matron
HAB01084;Hospital Porter - Health
HAB01085;Hospital Storeman
HAB01086;Hospital Ward Orderly
HAB01087;Hostel Matron
HAB01088;Hostel Warden
HAB01089;Hostess
HAD03166;Hotel Concierge
HAB01090;Hotel Detective
HAB01091;Hotel Doorman
HAB01092;Hotel Maid
HAC02838;Hotel Manager (office based) 
HAB01094;Hotel Porter
HAB01095;Hotel Proprietor
HAB01096;Hotel Receptionist
OC7111;House builder
HAB01097;House Maid
HAB01098;Housekeeper
HAB01099;Housewife/House-Husband
HAC02839;Housing Association Development Manager (inc. site visits)
HAB01100;Housing Inspector
HAC02840;Housing Manager 
OC1212;Human resource manager
HAD03158;Human Resources Advisor
HAD03159;Human Resources Analyst
HAD03161;Human Resources Assistant
HAD03386;Human Resources Consultant
HAD03387;Human Resources Officer
OC6224;Hunters and trapper
HAD03160;Hydro-Extractor Operator
HAC02841;Hydrographic Engineer/Surveyor
HAC02842;Hygienist
HAB01104;Hypnotherapist
HAB01105;Hypnotist
IAB01106;Ice Cream Van Driver
IAB01110;Illusionist
IAC02846;Illustrator 
IAD03175;Immigration Officer - admin only
IAD03177;Immigration Officer - otherwise
IAB01111;Impersonator
IAB01112;Importer
IAB01114;Incinerator Operator
IAD03171;Independent Financial Adviser - IFA
OC2141;Industrial and production engineer
IAD03173;Industrial Chemist
IAC02847;Industrial Designer
IAC02848;Industrial Relations Officer
IAC02849;Industrial Trainer
OC7422;Information and communications technology installer and servicer
OC3511;Information and communications technology operations technician
OC2434;Information and communications technology sales professional
OC1330;Information and communications technology service manager
OC3512;Information and communications technology user support technician
OC2356;Information technology trainer
OC6222;Inland and coastal waters fishery worker
IAB01118;Inseminator
IAD03178;Inspector (not police)
IAD03179;Instructor - aviation, diving, etc
IAD03180;Instructor - no special risks
IAC02851;Instrument Maker
IAC02852;Instrument Repairer 
IAD03167;Insulator - asbestos work inc
IAD03168;Insulator - no asbestos work
IAB01154;Insurance Agent
IAB01155;Insurance Assessor
IAB01156;Insurance Broker
IAB01157;Insurance Inspector
OC3321;Insurance representative
IAC02853;Interior Designer
IAD03169;Internal Auditor
IAB01158;Interpreter
IAC02854;Investment Analyst
IAB01163;Ironer
IAD03170;IT Analyst
IAD03172;IT Manager - admin only
IAD03174;IT Programmer
IAD03176;IT Technician
JAC02855;Janitor
JAB01167;Jetty Hand
JAC02856;Jeweller
JAB01168;Jewellery Enameller
JAB01169;Jewellery Making & Repair
JAB01170;Jewellery Mounter
JAB01173;Joiner - Construction Industry
JAB01174;Joiner - Ship Building, Ship Repair & Marine Engineering
JAB01175;Jointer
JAB01176;Journalist - no overseas travel etc
JAB01177;Journalist - otherwise
JAB01178;Judge
JAB01179;Judge\'s Clerk
JAB01180;Juggler
JAD03181;Justice of the Peace
KAD03182;Kebab Van Vendor
KAB01181;Keeper - Zoo
KAC02857;Kennel Hand 
KAB01184;Kerb Layer
KAD03183;Key Cutter
KAB01185;Keyboard Operator (type setting)
KAB01186;Kiln Attendant
KAB01187;Kiln Operator
KAB01192;Kitchen Porter
KAC02858;Kitchen Staff
KAB01194;Knife Thrower
KAB01195;Knitter
LAB01196;Labeller
LAC02859;Laboratory Manager (supervisory and some testing)
LAC02860;Laboratory Technician
LAD03184;Labourer
LAB01246;Lagger
LAB01249;Laminator
LAB01251;Land Agent
LAB01252;Land Drainage Worker
LAB01253;Land Surveyor
LAD03189;Landlord (Property -inc manual work)
LAC02864;Landlord (Property -no manual work )
OC2162;Landscape architect
LAB01254;Landscape Gardener
LAB01255;Landscape Painter
LAD03191;Lathe Operator
LAB01259;Launderette Assistant
OC8157;Laundry machine operator
LAB01261;Laundryman
LAB01262;Lavatory Attendant
IQ0108;Lawyer (in-house)
IQ0109;Lawyer (self-employed)
LAB01265;Leading Fireman
LAB01268;Leather Technologist
LAD03195;Leather worker
LAB01269;Lecturer
LAB01271;Left Luggage Attendant
LAC02869;Legal Adviser
OC3411;Legal and related associate professional
LAC02870;Legal Executive 
LAD03185;Legal Practice Manager
OC2619;Legal professional  
LAD03187;Legal Secretary
OC1111;Legislator
LAC02872;Letting Agent - Holiday homes
LAB01275;Librarian
LAC02874;Library Assistant
LAD03190;Life Coach
OC3141;Life science technician (excluding medical)
LAC02875;Lifeboatman - Crew 
LAB01276;Lifeboatman (enrolled crew)
LAB01277;Lifeguard
LAB01278;Lift Attendant
LAC02876;Lift Engineer
LAC02877;Lift Erector
OC8344;Lifting truck operator
LAB01280;Light Goods Vehicle Driver
LAD03188;Lighterman
LAB01284;Lighting Manager
LAB01285;Lighting Technician
LAD03192;Linesman
LAB01289;Linesman\'s Mate
LAC02878;Liquidator
LAB01293;Literary Agent
LAC02879;Lithographer
LAB01294;Lithographic Assistant
LAB01295;Lithographic Plate Grainer
LAB01296;Lithographic Plate Preparer
OC6121;Livestock and dairy producer
OC9212;Livestock farm labourer
LAD03193;Loader
LAD03194;Loader Operator
LAB01306;Lobster Fisherman
LAB01307;Local Government Officer
LAC02880;Local Newspaper Editor
LAB01309;Lock Keeper
LAB01311;Locksmith
LAB01312;Locomotive Driver
LAB01313;Locomotive Guard
SAB02293;Lollipop Man/Lady
LAB01315;Loss Adjuster
LAB01317;Lumberjack
MAB01318;Machine Attendant
MAB01319;Machine Maintenance Worker
MAD03224;Machine Operator - processing
MAB01358;Machine Tool Setter-Operator
MAB01363;Machinery Electrician
MAD03201;Machinist
MAD03204;Magazine Editor
MAD03207;Magazine Illustrator 
MAD03211;Magazine Writer
MAB01367;Magician
MAC02881;Magistrate - Stipendiary
OC4412;Mail carrier and sorting clerk
MAC02882;Mail Sorter 
MAD03198;Maintenance Fitter
MAD03202;Maintenance Manager
MAB01377;Maintenance Repairer
MAD03216;Maintenance Technician
MAD03221;Maitre d\'Hotel
MAB01390;Make-up Artist
MAB01393;Malt Roaster
MAB01394;Maltster
OC2421;Management and organization analyst
MAB01395;Management Consultant - Usually
MAD03208;Manager - admin only
MAD03212;Manager - heavy manual work
MAD03217;Manager - light manual work
MAD03222;Manager - Offshore
MAD03225;Manager - other
MAD03228;Manager - Retail
MAD03230;Manager - Sales
MAB01436;Manager (off site)
MAD03232;Managing Director - admin/office based only
MAD03233;Managing Director - heavy manual duties
MAD03234;Managing Director - light manual duties
MAD03235;Managing Director - Other
MAD03236;Managing Director - Retail
MAD03237;Managing Director - Sales Management
MAD03238;Managing Director - Selling
OC1120;Managing director and chief executive
MAD03239;Manhole Maker
MAB01451;Manicurist
OC9329;Manufacturing labourer  
OC1321;Manufacturing manager
OC3122;Manufacturing supervisor
MAD03197;Marine Biologist
MAB01453;Marine Engineer
MAB01454;Marine Installation Fitter
MAB01456;Marine Surveyor
MAB01459;Market Gardener
MAD03226;Market or Street Trader
MAC02885;Market or Street Traders Assistant
MAB01460;Market Porter - Usually
MAB01461;Market Research Analyst
MAB01462;Market Research Interviewer
MAC02887;Market Researcher - Street research
MAC02886;Market Researcher (office based) 
MAC02888;Marketing Consultant - International 
MAC02889;Marketing Manager
MAC02890;Marketing Research Manager (office based)
MAD03196;Marriage Guidance Counsellor
MAB01464;Martial Arts Instructor
MAB01465;Mason
MAB01466;Mason Bricklayer
MAB01467;Mason\'s Labourer
MAB01468;Masseur
MAB01469;Masseuse
MAB01476;Mate, Second Hand
MAC02891;Mathematician
MAB01478;Mattress Maker
MAB01482;Meat Cutter
MAB01483;Meat Inspector
MAB01484;Meat Trimmer
MAD03205;Mechanic
MAD03209;Mechanic - Oil Rig
MAD03213;Mechanical Engineer
OC3115;Mechanical engineering technician
OC8211;Mechanical machinery assembler
OC3214;Medical and dental prosthetic technician
OC3212;Medical and pathology laboratory technician
OC3256;Medical assistant
OC3211;Medical imaging and therapeutic equipment technician
MAB01496;Medical Practitioner
MAD03214;Medical Receptionist
OC3252;Medical records and health information technician
MAD03218;Medical Secretary
MAB01497;Medium
MAB01499;Member of Parliament, Politician
MAC02896;Messenger - Motorcycle
MAC02897;Messenger - Not motorcycle
OC8122;Metal finishing, plating and coating machine operator
OC7211;Metal moulders and coremaker
OC7224;Metal polisher, wheel grinder and tool sharpener
OC8121;Metal processing plant operator
OC3135;Metal production process controller
OC7223;Metal working machine tool setter and operator
MAB01503;Metallographer
MAB01504;Metallurgist
MAB01505;Meteorologist
MAD03210;Meter Collector
MAD03215;Meter Fixer/Tester
MAD03219;Meter Reader
MAB01515;Microfilm Operator
MAC02901;Midwife 
OC3222;Midwifery associate professional
OC2222;Midwifery professional
MAB01516;Milk Roundsman
MAB01517;Milker
MAD03220;Miller
MAD03223;Milliner
MAC02902;Miner
OC8112;Mineral and stone processing plant operator
MAD03199;Mineralogist
MAC02903;Mini Cab Driver 
OC3117;Mining and metallurgical technician
OC9311;Mining and quarrying labourer
MAB01529;Mining Engineer
OC1322;Mining manager
MAB01530;Mining Officer
OC3121;Mining supervisor
MAB01531;Mining Surveyor
MAC02904;Minister of Religion
MAB01532;Missionary
OC6130;Mixed crop and animal producer
OC9213;Mixed crop and livestock farm labourer
OC6114;Mixed crop grower
MAD03200;Mixer - processing
MAD03203;Mobile Crane Driver
OC8341;Mobile farm and forestry plant operator
MAC02905;Model Maker 
MAB01546;Money Broker
MAB01548;Mortuary Attendant
MAC02906;Motor Bike Instructor
MAB01551;Motor Cycle Courier
MAC02907;Motor Cycle Messenger
MAC02908;Motor Fleet Manager 
MAC02909;Motor Service Manager - admin only
OC7231;Motor vehicle mechanic and repairer
IQ0110;Motor Vehicle Trader/Saleman
OC8321;Motorcycle driver
MAD03227;Motorman
MAD03229;Mould Maker
MAD03231;Moulder
MAB01564;Mud Engineer
MAB01565;Mud Logger
MAB01566;Mud Man
MAB01568;Museum Attendant
MAB01569;Museum Curator
MAB01570;Museum Guide
MAB01571;Music Teacher (Private)
MAB01573;Musical Instrument Maker
MAB01574;Musical Instrument Repairer
MAD03206;Musician - Professional
OC2652;Musician, singer and composer
NAD03243;Nail Technician/Beautician
NAC01811;Nanny
NAD03240;Nature Reserve Worker/Warden
NAB01575;Navigator
NAB01578;News Photographer - no overseas travel etc
NAB01579;News Photographer - otherwise
NAC01812;Newsagent (not delivering papers)
NAC01814;Newspaper Reporter - Freelance
NAB01580;Newsreader
NAB01581;Newsvendor
NAD03241;NHS Manager
NAD03242;Night Watchman
OC0210;Non-commissioned armed forces officer
NAB01587;Nuclear Engineer
NAD03244;Nuclear Plant Attendant
NAB01591;Nuclear Scientist
NAB01592;Nurse
NAB01597;Nurse - Midwife
NAD03245;Nurse - Sister
NAB01598;Nurse - Teaching duties only
NAD03246;Nursery School Assistant
NAB01599;Nurseryman
OC3221;Nursing associate professional
NAB01600;Nursing Auxiliary
NAC01817;Nursing Home Proprietor (admin. only)
OC2221;Nursing professional
OAC01818;Obstetrician
OAB01601;Occupational Therapist
OAD03247;Oceanographer
OC9622;Odd job person
OAB01604;Office Clerk
OAB01605;Office Fitter
OAB01606;Office Messenger
OAB01608;Office Receptionist
OC3341;Office supervisor
OAD03251;Off-Licence Employee
OAB01602;Off-Licence Manager
OAD03248;Oiler and Greaser
OAB01612;Old People\'s Home Matron
OAB01613;Old People\'s Home Warden
OAC08123;Operations Manager - Light engineering company
OAB01616;Operations Officer
OAB01617;Optical Instrument Fitter
OAB01618;Optical Instrument Maker
OAB01619;Optical Instrument Mechanic
OAB01620;Optical Instrument Repairer
OAB01621;Optical Printer
OAB01622;Optician
OAC01826;Opticians Assistant 
OC2267;Optometrist and ophthalmic optician
OAB01625;Orchestrator
OAB01628;Orthodontic Technician
OAB01629;Orthodontist
OAC01827;Orthopaedic Surgeon 
OAB01630;Orthoptist
OAB01631;Osteopath
OC3435;Other artistic and cultural associate professional
OC2355;Other arts teacher
OC9129;Other cleaning worker
OC2353;Other language teacher
OC2354;Other music teacher
OAD03249;Outdoor Pursuits Centre Instructor
OAD03250;Ovensman
OAB01637;Overhead Crane Driver
OAB01638;Overhead Linesman
OAB01639;Overhead Linesman\'s Mate
OAB01643;Oyster Fisherman
PAD03258;P E Teacher
PAB01644;Packaging Machine Attendant
PAD03261;Packer
OC8183;Packing, bottling and labelling machine operator
PAC01828;Painter
PAB01665;Painter - Woodworking Industry
PAB01666;Painter & Decorator (Interior)
PAB01668;Painter (Exterior) - 40\' up
PAB01669;Painter (Exterior) - up to 40\'
PAD03272;Panel Beater
PAB01673;Paper Maker (hand)
PAB01674;Paper Merchant
OC8143;Paper products machine operator
PAB01676;Paramedic (Driver)
PAB01677;Paramedic (No driving)
PAB01678;Park Keeper
PAB01679;Park Ranger
PAB01680;Parks Superintendent
PAB01681;Parliamentary Agent
PAC01832;Party Organiser 
PAB01682;Passenger Officer
PAB01685;Pasteuriser
PAB01687;Patent Agent
PAB01688;Pathologist
PAB01691;Pattern Maker - Metal, Plastic etc
PAB01692;Pavior
PAC01834;Pawnbroker
OC4313;Payroll clerk
PAB01693;Pedicurist
OC7535;Pelt dresser, tanner and fellmonger
PAD03259;Personal Assistant (PA)
OC5329;Personal care worker in health services  
OC5169;Personal services worker  
OC2423;Personnel and careers professional
OC4416;Personnel clerk
PAB01696;Pest Control Manager
PAB01697;Pest Control Operator
OC5164;Pet groomer and animal care worker
PAB01699;Petrol Pump Attendant
OC3134;Petroleum and natural gas refining plant operator
OC3213;Pharmaceutical technician and assistant
PAB01701;Pharmacist
PAB01702;Pharmacologist
PAB01703;Pharmacy Assistant
OC2633;Philosopher, historian and political scientist
PAC01844;Phlebotomist
PAD03383;Photocopier Engineer
PAB01704;Photocopying Machine Operator
PAC01845;Photographer
PAC01846;Photographer - Aerial
PAB01705;Photographic Finisher
PAB01706;Photographic Model
PAB01707;Photographic Mounter
OC8132;Photographic products machine operator
OC3119;Physical and engineering science technician  
PAB01708;Physician
PAB01709;Physicist
PAB01710;Physiotherapist
OC3255;Physiotherapy technician and assistant
PAB01711;Piano/Organ Tuner
PAB01712;Pickler
PAC01848;Picture Framer
PAB01713;Pier Master
PAB01714;Pile Driver
PAB01715;Pilot
PAD03263;Pipe Fitter
PAD03264;Pipe Jointer
PAD03268;Pipe Layer
PAB01729;Pipe/Powerline Survey Work
PAB01731;Pitch Melter
PAD03253;Planning Engineer
PAB01735;Planning Inspector
PAB01736;Plant Attendant
PAC01849;Plant Hire Manager (some manual work)
PAC01850;Plant Hire Owner (some manual work) 
PAC01851;Plant Hire Proprietor (admin. only) 
PAD03254;Plant Operator
PAB01747;Plasterer
PAB01748;Plastic Coating Operator
OC8142;Plastic products machine operator
PAB01752;Plate Cutter
PAB01753;Plate Moulder
PAB01754;Plate Separator
PAB01755;Platelayer
PAB01756;Plateman
PAB01757;Plater - Aircraft/Aerospace
PAB01758;Plater - Motor Vehicle & Cycle Industry
PAB01759;Plater - Ship Building, Ship Repair & Marine Engineering
PAB01760;Plater (including Boiler)
PAD03252;Playschool/Group Worker/Leader
PAB01761;Playwright
PAB01762;Plumber - Construction/Industrial
PAC01852;Plumber - Domestic
PAB01765;Pneumatic Drill Operator
PAB01766;Poet
PAB01767;Pointsman
PAB01768;Police
PAB01773;Police Frogman
OC3355;Police inspector and detective
OC5412;Police officer
OC2422;Policy administration professional
OC1213;Policy and planning manager
PAD03260;Politician 
PAB01777;Pollution Inspector
PAB01780;Pop Musician
PAB01781;Pop Singer
PAB01782;Port Control Signalman
PAB01783;Port Health Inspector
PAB01785;Porter - Meat, Fish etc - Food & Drink
PAB01786;Porter - Station Personnel - Railways
PAB01787;Portrait Painter
PAB01788;Portrait Photographer
PAC01853;Postal Courier Driver
PAC01854;Postal Courier Manager 
PAB01790;Postman
PAB01789;Postman (no driving)
PAB01791;Pot Fisherman
PAB01792;Potman
PAB01793;Potter
PAB01794;Poultry Dresser
PAB01795;Poultry Plucker
OC6122;Poultry producer
PAB01797;Poultryman
PAB01798;Power Loader Man
PAB01799;Power Loader Operator
OC3131;Power production plant operator
PAB01800;Power Station Charge Engineer
PAB01801;Power Station Manager
PAB01802;Power Station Superintendent
PAC01857;PR Executive
PAC01858;Practice Manager
IQ0111;Precious Metal Trader
PAB01806;Precision Instrument Fitter
PAB01807;Precision Instrument Maker
PAB01808;Precision Instrument Repairer
PAB01809;Preparer
OC7321;Pre-press technician
PAB01810;Press Cutter
PAB01811;Press Officer
PAD03255;Press Operator - processing
PAB01814;Press Tool Setter
PAB01817;Presser - Fruit & Veg. - Food & Drink
PAB01818;Presser - Laundry
PAB01819;Priest
OC2341;Primary school teacher
OC7323;Print finishing and binding worker
PAB01821;Printer
PAC01860;Printing Director (purely admin.)
OC5413;Prison guard
PAB01826;Prison Officer
PAB01827;Private Detective
PAB01831;Probation Officer
OC3139;Process control technician  
PAD03256;Process worker
PAD03257;Producer - TV/film/theatre
OC2163;Product and garment designer
OC7543;Product grader and tester (excluding foods and beverages)
OC4322;Production clerk
PAB01868;Production Manager
OC1349;Professional services manager  
PAC01865;Professional Sportsperson
PAC01866;Project Co-ordinator
PAD03266;Project Manager/Programme Manager
PAB01899;Projectionist
PAB01900;Prompter
PAB01901;Proofer
PAC01867;Property & Estate Manager
PAD03271;Property Developer (no manual work)
PAB01902;Property Manager
PAB01905;Proprietor
OC5419;Protective services worker  
PAB01906;Psychiatrist
PAB01907;Psychologist
PAC01870;Psychotherapist 
PAC01871;Public Hall Bookings Office Manager 
PAB01909;Public Health Inspector
PAB01910;Public House Manager (salaried)
PAB01911;Public Lighting Fitter-Erector
PAB01913;Public Relations Officer
OC2432;Public relations professional
PAB01915;Publican
PAB01916;Publisher
OC8171;Pulp and papermaking plant operator
PAD03267;Pumpman
PAB01923;Puppeteer
PAC01872;Purchasing Officer/Manager (not retail)
PAB01924;Purifier Man
PAB01925;Purser
PAB01927;Pusherman
QAD03273;Quality Control Engineer
QAD03274;Quality Control Inspector
QAB01930;Quantity Surveyor
QAB01931;Quarry Manager
QAC01874;Quarryman
QAB01933;Quartermaster
QAB01934;Queen�s Counsel
RAB01935;Rabbi
RAD03278;Racetrack Steward
RAB01936;Radar Controller/Operator
RAB01937;Radar Observer
RAC01877;Radio and TV Repairer
RAB01942;Radio Station Manager
RAB01943;Radio/Radar Operator
RAC01875;Radio/TV Announcer/Presenter
RAC01876;Radio/TV Director/Producer
RAB01947;Radiographer - Health
RAB01948;Radiologist
RAD03281;Radiotherapist
RAB01950;Rag & Bone Dealer
OC8312;Railway brake, signal and switch operator
RAB01959;Receptionist
RAC01881;Record Producer - Entertainment Industry
RAB01960;Recording Engineer
RAD03275;Recruitment Consultant
RAB01961;Rector
RAB01963;Reflexologist
RAC01882;Refuse Collector
OC9612;Refuse sorter
RAB01964;Registrar
OC3359;Regulatory government associate professional  
RAC01883;Reinsurance Broker
RAD03277;Relationship Manager
OC3413;Religious associate professional
OC2636;Religious professional
RAB01967;Rent Collector
RAB01973;Reporter/Writer - no overseas travel etc
RAB01974;Reporter/Writer - otherwise
RAB01975;Rescue Diver
OC1223;Research and development manager
RAC01885;Research Chemist (Managerial)
RAC01886;Research Information Officer (Office based) 
RAC01887;Research Projects Manager (Deals with hazardous substances) 
RAB01976;Research Survey Clerk
RAB01978;Researcher - Journalism
RAB01977;Researcher - Radio & TV - Entertainment
RAB01979;Reservations Clerk
RAB01980;Reservoir Attendant
RAC01888;Residential Care Worker
RAC01890;Residential Home Proprietor (Admin. only)
RAC01891;Residential Home Proprietor (full involvement in caring)
OC1412;Restaurant manager
RAC01892;Restaurant Proprietor - no cooking
RAB01983;Restorer (Paintings)
RAB01984;Restorer (Stone, Brickwork)
OC1420;Retail and wholesale trade manager
RAC01894;Retail Shop Manager 
RAC01895;Retail Shop Manager - admin only
IQ0006;Retail Trader (self-employed)
RAC01896;Retired 
RAC01897;Riding Instructor
RAB01985;Rig Electrician
RAB01986;Rig Maintenance Diver
RAB01987;Rig Mechanic
RAB01988;Rig Medic
RAB01989;Rigger - Docks
RAB01990;Rigger - Film Industry - Entertainment
RAB01991;Rigger - Gas Supply Industry
RAB01994;Rigger - Industrial/Plant Machinery
RAB01992;Rigger - Oil & Natural Gas Industries 
RAB01993;Rigger - Ship Building, Ship Repair & Marine Engineering
RAB01995;Ripper
RAB01996;River Inspector
RAD03279;Riveter
RAB02008;Road Crew Member - \'Roadie\'
RAC01900;Road Manager - Rock band
RAB02010;Road Marker
RAD03384;Road Patrolman 
RAB02013;Road Safety Officer
RAC01902;Road Sweeper - Mechanical
RAB02015;Road Sweeper (hand)
RAB02016;Road Tester - Garage Trade
RAB02017;Road Tester - Motor Vehicle & Cycle Industry
RAD03280;Road Worker/Labourer
RAB02019;Roaster
RAB02020;Rodent Destroyer
RAB02022;Roller Blind Maker
RAD03276;Rollerman 
RAB02032;Roofer - 40\' up
RAB02033;Roofer - up to 40\'
RAC01903;Roofing Inspector (Mostly office based - some estimating)
RAB02035;Rope Maker
RAB02037;Roughneck
RAB02039;Roustabout
RAC01905;Roustabout Pusher - Oil Rig Industry
RAB02043;RSPCA Inspector
RAC01906;Rubber & Plastics Worker
OC8141;Rubber products machine operator
RAB02044;Rubber Technologist
SAB02047;Saddler
SAD03299;Safety Inspector
SAB02048;Safety Officer
SAC01907;Safety Officer - Oil Rig Industry
SAD03300;Sailing Instructor
SAD03305;Salary Administrator
SAC01908;Sales & Marketing Manager
SAD03306;Sales Assistant - retail
OC5242;Sales demonstrator
SAD03312;Sales Executive
SAD03317;Sales Manager
SAD03319;Sales Support Administrator
OC5249;Sales worker  
SAB02050;Salter
SAB02051;Salvage Diver
SAB02052;Salvage Man
SAD03283;Sandblaster
SAC01910;Satellite Aerial Fixer (domestic only)
SAB02056;Saturation Tank Attendant
SAD03296;Saw Doctor or Repairer or Sharpener
SAB02064;Scaffolder
SAD03291;Scaffolder Offshore Oil or Gas
SAB02068;Scene Shifter
SAB02069;Scenery Painter
SAD03313;School Assistant
SAC01912;School Bursar
SAC01913;School Inspector
SAB02074;Scrap Breaker
SAB02076;Scrap Dealer
SAB02079;Screen Printer
SAB02081;Screener - Quarrying
SAB02082;Screenmaker
SAB02084;Screwman
OC4414;Scribe and related worker
SAB02085;Script Writer
SAB02087;Sculptor
SAB02088;Seaman
OC2330;Secondary education teacher
SAD03307;Secretary
OC3311;Securities and finance dealer and broker
SAD03314;Security Consultant
SAB02093;Security Guard
SAD03285;Security Manager
SAB02096;Seismologist
OC1112;Senior government official
OC1114;Senior official of special-interest organization
OC5245;Service station attendant
OC1439;Services manager  
SAD03301;Set Designer
SAB02106;Sewage Works Attendant
SAB02107;Sewage Works Manager
SAB02108;Sewerman
SAC01919;Sewing Machine Mechanic 
SAD03315;Sewing Machinist
OC7533;Sewing, embroidery and related worker
SAB02113;Shaftsman
SAB02114;Sheep Shearer
SAB02115;Sheet Fixer
SAD03294;Sheet Metal Worker
SAC01920;Shelf Filler
SAB02119;Shepherd
SAB02123;Shipping Clerk
SAB02121;Ship\'s Broker
OC8350;Ships\' deck crew and related worker
OC3152;Ships\' deck officer and pilot
OC3151;Ships\' engineer
SAB02127;Shoe Maker
SAB02128;Shoe Repairer
OC8156;Shoemaking and related machine operator
SAB02129;Shop Assistant
SAB02133;Shop Fitter
OC5221;Shop keeper
OC5222;Shop supervisor
SAD03286;Shotblaster
SAD03292;Shotfirer
SAB02145;Shredding Machine Operator
SAB02146;Shunter - Marshalling/Goods Yard - Railways
SAB02147;Shunter - Mining
SAD03302;Sieve Operator - food
SAD03308;Sieve Operator - quarry
SAD03316;Sifter - food
SAD03318;Sifter - quarry
SAB02159;Sign Writer (40\' up)
SAB02160;Sign Writer (no work at heights)
SAB02163;Signalman
