Code;Description
BAB00178;Biologist (No travel/ underwater)
BAB00179;Biologist (Overseas travel)
BAB00180;Biologist (Underwater work)
BAB00181;Biscuit Baker
BAB00182;Blacksmith
OC7221;Blacksmith, hammersmith and forging press worker
BAB00183;Blancher
BAD03031;Blaster - quarry
BAB00184;Bleacher - Paper & Board Manufacture
BAB00185;Bleacher - Textile & Clothing Industry
BAB00186;Blender
BAB00187;Block Cutter
BAB00188;Boarding School Matron
BAB00189;Boat Builder
BAB00190;Boatswain - Fishing Industry
BAB00191;Boatswain - Merchant Marine
BAB00192;Boatswain\'s Mate
BAB00193;Bodyguard
BAB00194;Boiler - Confectionery etc - Food & Drink
BAB00195;Boiler - Fruit & Veg. - Food & Drink
BAB00196;Boiler - Meat, Fish etc - Food & Drink
BAB00197;Boiler Cleaner
BAB00198;Boiler Operator - Electrical Supply
BAB00199;Boiler Operator - Water Supply Industry
BAB00200;Boiler Operator/Fireman
BAB00201;Bomb Disposal - Elsewhere
BAB00202;Bomb Disposal - Mainland Britain
BAB00203;Book Illustrator
BAD03032;Book Seller
BAB00205;Bookbinder
BAB00204;Book-Keeper
IQ0103;Book-Keeper (self-employed)
BAB00206;Bookmaker - On course
BAB00207;Bookmaker - Shop Manager
BAB00208;Bookmaker - Shop Owner
BAB00209;Bookmaker - Shop Staff
BAB00210;Boom Operator
BAB00212;Borer - Mining
BAB00211;Borer - Tunnelling
BAB00213;Borstal Matron
BAB00214;Bosun (Third Hand)
BAB00215;Botanist (No overseas field work)
BAB00216;Bottle Washer (hand or machine)
BAB00217;Bottling Machine Attendant
BAB00218;Box Maker
BAD03033;Box Office Cashier
BAD03034;Box Office Clerk
BAB00224;Box Office Manager
BAB00226;Brakesman
BAB00227;Brazer
BAB00228;Bread Baker
BAB00229;Bread Roundsman
BAD03035;Breakdown Recovery Man
BAB00230;Brewer
BAB00231;Brewery Manager
BAB00232;Bricklayer
BAB00233;Bridge Man
BAD03036;Briner
OC3521;Broadcasting and audio-visual technician
BAD03037;Broker - Insurance IFA
BAD03038;Broker - Insurance Non IFA
BAD03039;Broker - Money/investments
BAD03388;Broker - Oil
BAD03040;Broker - Other
